author,message
Born free,Excuses Excuses Eskom employees like this one do not deserve any bonuses Very evasive witness There was nothing Normal about procurement There was value for these crooks One big breakfast at R1. 2 million Bwekfaest This government is dysfunctional... Eish Greed Zuma Keep America Great At least America is governed by whites They had Obama and igw failed dismally I am a REALIST I just prefer Beagles Google it use the dictionary Get him Adv Hoffmeyer go for the kill Racism will always exist.. nothing you can do about it.. just a fact. "Derek Main pretends to be this ""Paragon of Virtue"" but he hides behind Che G??" No.. Che getting closer to the truth 🤣🤣🤣 🤣🤣killshot Catch a 🐵 slowly Ms Hoffmeyer Paid but did TNA produce that many copies?? I recall getting The New Age in my post box Great now I will bank my US cheque.. just waiting for that. Gee.. Derek so you are not an ANC Patriot.. I bet you are a socialist patriot.
Rob Nel,"Head of dept Why "Well you try that in Paris We multi function She has had him all day "@Derek Main  It was stated in articles they were "So camping in a city street  Look at my response was to Thando "I am FAR from emotional. if the authorities do nothing "So after requests
Derrick Mpotaringa,No sound for me
Person of interest,BLAM BLAM game over Gigaba Hey guys Concentrate on this evidence Zondo not too soft to be prez! I wish I had Zondo's mind. But he is bringing interesting stuff up. "Thando Time will tell "I'm thinking he is nervous This happens when you multi function lol! team... I am worried about judge's health
aamir sattar Jhatial,iran porngraphy
Ricus Ellis,Now Ms Hoffman has him by the balls He wants Mr Pretorius to take the fall for his doings No one has yet been charged. What is the ourpose since the Zondo commission will still sit for another year!!!! Brilliant Ms Hoffmeyer. DONT LET THS CLOWN off the hook. Reel in the big fish now!!!
Derek Main,@Thando Nkutha I agree - very sad. I can understand their viewpoint but it was always a long shot that they would be shipped somewhere else. @Thando Nkutha That's the saddest part - that kids were in the middle of all that mayhem. But their viewpoint that they were not safe in the communities they came from can't be fobbed off that easily. @Rob Nel How do you know they were illegal? @Rob Nel You misunderstood - they were camping there illegally but not necessarily in the country illegally. @Rob Nel Where did I say that? @Rob Nel Sorry but that wasn't clear. @Rob Nel I don't have a problem with them doing something but I do think we have a problem with police brutality. Think Marikana. "@Rob Nel And as we;ve learnt @Rob Nel Yes of course. It's not always a cut-and-dried issue. @Thando Nkutha I agree that they had to be moved from there - just sad at how it all turned out and feel sorry for people who have already suffer so much. @Thando Nkutha Don't get me started on Trump. 😠 @Thando Nkutha Just watched video of baby being ripped from mother's arms in CT protest. Why was that necessary? You might be right - it's just as bad as Trump putting kids in cages. @Danie Nilsen I'm not either - I just know evil when I see it. @Danie Nilsen I think Zuma and Trump are cut from the same cloth. @Danie Nilsen Because he was a crook and the other is about to be fired because he is a crook. I rest my case. I can't sit here and listen to racist bile being spewed. Truth Hurts blocked. @Born free Let me help you with your spelling - RACIST. "@Danie Nilsen Seriously!?! You believe that crap? He doesn't need to because he is lining up enough business for his daughter @Born free Of course there is something each of us can do about it - refrain from being one. It's not rocket science. @Danie Nilsen I bow to your superior knowledge. @Born free Are you getting desperate? @Thabo Ditseho From teaching biology to marketing?! That's quite a change! @Thabo Ditseho OK - interesting
Lee D. Hendrix,...Pure criminality for a salary..is corruption. ...Eskom is a farm of kings with big stomachs and vile morality. Trump wants to be a king with daft religious beliefs as a governmental head of church isms. "..A bank is a money laundering system "....No one needs to know right from wrong to be considered educated and become employed in a corporation "...The man is asserting the he was doing his wrong as a part of his job "..Corporation President of the United States of America "..The word TOMORROW is not written Scriptural ..The poor Shepherds in the fields were made Holy and became the monitors of Jesus at his birth. ...People are born for a reason and its not Racism. Racism is sustained and taught by perfect people.
Wilson M,This guy mara is a crook One of the ways to tell if a person is lying is when they bring up extra inforemation not needed Well yea if the asnwer you are giving are lies Hello to you too @Sthakathi Khumalo "Well @Sthakathi Khumalo Sthakathi Khumalo I can hear you screaming from here bro 😂 Phama Mashego thanks "Its like stories that estina guy was giving VBS "Listen to this "This is crazy Caught Thando Nkutha Still think this guy is telling the truth This is the kill You see im right my G Eh eh eh this guy ban. Yoh
John Doe,lol
