author,message
Askar Niko02,u half i m half in that company only in rusdia . no any position for any one . u country half n i m half in that company . u want to give whom not my business u approve my meetion bomb 100 % from russia . share half fou n u country . u give approve letter from u court to russia 100 % millty from rusdia will bomb on mafia country n they dlave country . my all 2036 president law must approve all .
Dominic Przybylski,Gosh - restarted so soon after lunch! "While we on this two year talk shop about corruption Hundreds of millions paid out for PPE to ""businesses"" in Gauteng Many don't have websites or phone numbers. "Read ""Gauteng’s Covid-19 Expenditure Disclosure Report adds murk to troubled waters"" on Daily Maverick." "This commission is a classic case of ""fiddling while Rome burns""." "The hundreds of millions and staff for this commission should be transferred to NPA. We need arrests trials and convictions SA government is already bankrupt. Cannot operate without borrowing billions. Cannot borrow forever. "What did Cyril do to prevent corruption when he was deputy president? How could he have been ""shocked"" when it seems that everyone else in the country knew more about what was happening than he did?" Competitive bidding is a farce when the government only asks for bids from people who are not competitive. "@Craig Johnson what did he achieve other than a permanent place at the head of the BEE queue He did nothing to prevent corruption like he did nothing to prevent a violent end to the Marikana strike. Being a politician is about serving politicians. @Ndumieh Mokoena because they have access to tax money. Capitalism is a game of competition where the people who do the job best are the winners. Communism is a game without competion where everyone is a loser i.e. equal. @Sibusiso Cilo We simply cannot survive if we assume that everybody outside of treasury cannot be trusted. Unfortunately that does seem to be the case. @Sal SA Unfortunately it cannot work in a competitive global economy. The only way to get rid of corruption is to embrace a free market where people who are incompetent are allowed to fail. SAA is a classic example. This government is spending billions on a failure which will continue to fail. Billions more disappearing into all the other SOEs just because they cannot accept that their method of operation is a total failure. """3 people"" in control of trillions every year... How will that work?" Centrally controlled economies don't survive. @Sal SA What's wrong with letting the economy operate according to supply and demand? "Instead of giving somebody an RDP house It's only in movies where the criminals look sinister and ugly. The successful ones are excellent at pretending they are honest and reliable. @Craig Johnson 255 million to do the job. 211 million profit. Profit is so huge that 20 or 30 million missing was not something worth worrying about. Standard BEE procedure. Paying the price of the sun for a candle. "That's why there's no money left for housing Joint ventyre or zol venture... This is so unreal. @watson mutanga exactly Didn't question the missing money because he couldn't bite the hands which fed him. Who is JT if not Jimmy Tau? J T - Jacob Tuma? He's claiming gross negligence. He should have called his company Acne Consulting then would have his company name appear at the top of alphabetic lists. How can somebody as negligent as this earn mega millions? @Ndumieh Mokoena I think there were some arrests for people who were not wearing face masks.
Barbara Sattler,humming sound!!! Produce pay slips for all the employees of these companies. raise the price and sub contract. Easy peasy
Peet Venter,Here starts the throat clearing...
Joshua Borias,""" NO FULL DISCLOSURE """ """ TENDERS R AN ' UNBILICAL CORD' 4 CORRUPTION""" """ERROR IN NEGOTIO ( DELIBERATE MISLEADING INFO ON TRUE NATURE OF FACTS)""" """ NPA GIVEN BITING POWERS """
TheQueen V,where my peeps hello @teunis and @rip how are you @zip @kgomo yes if you are not connected then you won't get any piece of the pie @zip😍😍😍😍 "anc is done imagine taking in a contract not knowing what your profit will be😂😂😂laughable "so much so that he didn't bother to know what the profit margin would be "@willem we are there already "is he sleepy now klepto in a suit I wish you could ignore being corrupted aswell he wants us to believe this nonsens the same way gavin Watson wants us to believe his dead😂😂 you know exactly don't deny "get him @abel probably Jean Tiaan 😂😂😂 :shelterin: Jimmy sauce lol chair throwing shade @kay and you won't win that one JT must come to commission "the "so if his name is written at ES @tebogo yes and he thinks his talking to anc voting cattle on top of your shiny lying head yass pretorius go for the jugular!! the lies🤔🤔🤔🤔 but wasnt simple enough for you to check Edwin sodi :virtualhug::virtualhug::virtualhug: pretorius is not falling for that nonsens ❤️ @mfundo he thinks he's dealing with stupids here "@lowjack you are extremely boring. Defending corrupt nonsens this man can lie omw @abel sent banking details @mfundo are you flirting sodis collar is hot now @mfundo you flirt right in front of me haibo "@SAL which one @mfundo you have no shame wena I miss the poet Vincent maleka loadshedding at 6 later chancer.
Anne M.,Here 😃 @Valencia J Throw a dead man under the bus ....... Nice one!
Teunis van Ree,🙋🏻‍♂️ they all do it Gotcha on the SLA 😁 Shifting blame on a deceased partner. Dirty 😱 First thing they do after winning a tender is to buy expensive cars But there should be a quantity surveyor/cost accountant on the project team! Detailed questioning is necessary but biring boring He knew what he was doing and isn't the biggest skelm in the story @Dominic because S&D was manipukated ll
zip reeper,endless procession of stooges wallowing in moolah hi valencia this zondo commission wont change anything! "valencia miss julies cyril does not care about costs! cyril doesnt want arrests. he loves corruption thats why we have this talk shop pistorius knows nothing about business. everyone sub contracts "dominic affirmative action buzz on sound "cyril bribed his way into office with r1bn "tumi "mosima "mosima "sipho "ndumieh "dominic pretorous cant snare this smooth shyster zondo report headed for file 13 bye mthuthe this crook already has new contracts Even Bantu Education now teaches spreadsheet He is not answerable to Pretorius Making so much money you dont have to study spreadsheets Zondo wants tea Sodi had a burglary at his office "Antoinette "I dont "Gina
Sal SA,Hi guys But he testified earlier they did not have expertise to do the job so he ew they were going to sub contract Big words for a relatively simple project Blame the dead! You are an active partner man Misrepresentation Lying Badger him more DCJ - its taxpayers money that was stolen You were an active partner- no getting away with misrepresentation Team of engineers wow @Alan more money to be made as a tenderpreneur @Dominic employ more qualified staff and adequate controls to expedite process @Dominic unfortunately we must start with that assumption @Dominic its working in other economies @Dominic other private airlines have collapsed even in SA @@Dominic then u strengthen risk management and internal audit @Dominic restructure the procurement vetting in Treasury into various sectors with industry specialists @Dominic state infrastructure centralized Not yet @Jenny as far as I'm aware Yes @Loe Wow R86m profit- feeding frenzy! Exactly @Low Forensic @Low Nothing except attend meetings @Immanuel Balance disappeared DCJ Now he knows what costs were going to be @Valencia the cost was so low that it was not pertinent in arriving at the profit. Exactly Exactly @Valencia @Willem SA is highly indebted- i think borrowing is apparently 80% of GDP. Ignorance is no excuse my brother "Deny Jimmy Tau ex Kaizer Chiefs What did Tau get paid for? JT got paid that's why he appears in the spreadsheet. It was a thnk u payment Spreadsheet was for all related costs DCJ Liar first time heh "But the project was in 2014 JT must be dribbling with all this mess @Mfundo yes we must @Mfundo the point is as a partner that will be sorted out in 2014 So he knew what the final profit will be - huge Gotcha He's clever enough to know he should have queried the payments @Low that's how corrupted justify their actions. SA has lost billions through these lechers I think @Low is his legal counsel Yamanga @Valerie FYI also try Osmans Spice in Gatesville - their HO in Dbn @Valencia see my note above
HALO,He is a thief. Done.
mathys botha,they haven't untill today removed a they haven't until today removed any of the as asbestos this man is as slippery as a wet snoek does anyone know how his partner died
